air                                       3258160011
deepslate                                 869604009
stone                                     621856964
water                                     174168960
tuff                                      72411138
andesite                                  63210651
diorite                                   60230465
granite                                   58037004
bedrock                                   50331267
dirt                                      41060914
gravel                                    34470734
clay                                      10581795
grass_block                               7241310
copper_ore                                5898645
coal_ore                                  5444411
sand                                      4282253
iron_ore                                  3253836
cave_air                                  3241350
lava                                      2939686
kelp_plant                                2414837
dripstone_block                           2329470
oak_leaves                                2273557
deepslate_redstone_ore                    2151200
moss_block                                2087452
snow                                      1997692
deepslate_iron_ore                        1882705
dark_oak_leaves                           1625203
smooth_basalt                             1538048
spruce_leaves                             1527440
deepslate_gold_ore                        1412622
birch_leaves                              1365448
tall_seagrass                             1297597
calcite                                   1242669
amethyst_block                            965105
deepslate_diamond_ore                     960478
grass                                     917908
deepslate_lapis_ore                       898944
sandstone                                 670970
lapis_ore                                 640247
dark_oak_log                              635460
seagrass                                  618388
deepslate_copper_ore                      547606
pointed_dripstone                         512981
sculk                                     479321
kelp                                      451255
ice                                       322096
oak_planks                                321693
cave_vines_plant                          291308
gold_ore                                  258920
packed_ice                                238590
snow_block                                213433
cobblestone                               213143
oak_log                                   210352
oak_fence                                 192677
spruce_log                                187179
glow_lichen                               184130
jungle_leaves                             177560
redstone_ore                              175633
vine                                      171413
birch_log                                 168359
cave_vines                                159149
sculk_vein                                154936
tall_grass                                150509
moss_carpet                               133341
mycelium                                  106156
budding_amethyst                          87026
acacia_leaves                             80965
prismarine                                80746
prismarine_bricks                         78134
magma_block                               74552
bamboo                                    71993
rail                                      71885
mossy_cobblestone                         70603
red_mushroom_block                        66561
cobweb                                    61168
deepslate_coal_ore                        50020
jungle_log                                43052
rooted_dirt                               41095
azalea                                    37236
fern                                      37084
big_dripleaf_stem                         28753
brown_mushroom_block                      28016
diamond_ore                               26775
netherrack                                24863
big_dripleaf                              24468
infested_stone                            24218
large_fern                                23684
stone_bricks                              23452
infested_deepslate                        21306
flowering_azalea                          21253
dark_oak_planks                           20566
powder_snow                               18605
dirt_path                                 18240
chain                                     18223
mossy_stone_bricks                        16163
podzol                                    14608
coarse_dirt                               12928
small_dripleaf                            12080
dandelion                                 12070
mushroom_stem                             11536
birch_planks                              10361
sunflower                                 10228
cracked_stone_bricks                      10096
acacia_log                                9977
gray_wool                                 9797
deepslate_bricks                          8736
spruce_planks                             7718
raw_iron_block                            7089
oak_stairs                                6675
deepslate_tiles                           5632
raw_copper_block                          4457
poppy                                     4133
azalea_leaves                             4043
dark_prismarine                           3996
wall_torch                                3945
amethyst_cluster                          3938
large_amethyst_bud                        3911
small_amethyst_bud                        3904
emerald_ore                               3860
cobbled_deepslate                         3851
medium_amethyst_bud                       3779
cracked_deepslate_bricks                  3731
sculk_sensor                              3481
spore_blossom                             3378
dark_oak_stairs                           3206
spruce_stairs                             2881
chest                                     2722
deepslate_tile_stairs                     2580
cracked_deepslate_tiles                   2494
bubble_column                             2477
peony                                     2337
lilac                                     2244
infested_stone_bricks                     2176
rose_bush                                 2164
spawner                                   2093
brown_mushroom                            2018
cornflower                                1962
azure_bluet                               1873
red_carpet                                1779
polished_deepslate                        1771
sugar_cane                                1703
acacia_planks                             1620
sea_lantern                               1555
jungle_planks                             1543
chiseled_deepslate                        1444
stripped_spruce_log                       1382
blue_ice                                  1381
flowering_azalea_leaves                   1349
bookshelf                                 1310
glass_pane                                1299
farmland                                  1287
acacia_stairs                             1282
cobblestone_stairs                        1258
oxeye_daisy                               1215
white_carpet                              1212
pumpkin                                   1193
